src_vid,dst_vid
DB00160,SMP0002298
DB00160,SMP0000015
DB00160,SMP0000055
DB00160,SMP0000063
DB00160,SMP0000143
DB00160,SMP0000179
DB00160,SMP0000242
DB00160,SMP0000247
DB00160,SMP0000249
DB00160,SMP0000250
DB00160,SMP0000255
DB00160,SMP0000256
DB00160,SMP0000257
DB00160,SMP0000259
DB00160,SMP0000262
DB00161,SMP0000016
DB00161,SMP0000137
DB00161,SMP0000139
DB00161,SMP0000173
DB00161,SMP0000248
DB00161,SMP0000251
DB00161,SMP0000254
DB00161,SMP0000293
DB00161,SMP0000294
DB00161,SMP0000524
DB00161,SMP0000713
DB00161,SMP0000730
DB00161,SMP0000731
DB00161,SMP0000138
DB00161,SMP0000198
DB00161,SMP0000200
DB00161,SMP0000252
DB00161,SMP0000253
DB00161,SMP0000258
DB00161,SMP0000290
DB00161,SMP0000291
DB00161,SMP0000292
DB00161,SMP0000295
DB00161,SMP0000523
DB00161,SMP0000712
DB00161,SMP0000714
DB00161,SMP0000727
DB00161,SMP0000728
DB00161,SMP0000729
DB00161,SMP0000032
DB00162,SMP0000074
DB00162,SMP0000336
DB00165,SMP0000017
DB00165,SMP0000503
DB00167,SMP0000137
DB00167,SMP0000139
DB00167,SMP0000173
DB00167,SMP0000248
DB00167,SMP0000251
DB00167,SMP0000254
DB00167,SMP0000293
DB00167,SMP0000294
DB00167,SMP0000524
DB00167,SMP0000713
DB00167,SMP0000730
DB00167,SMP0000731
DB00167,SMP0000138
DB00167,SMP0000200
DB00167,SMP0000252
DB00167,SMP0000253
DB00167,SMP0000258
DB00167,SMP0000290
DB00167,SMP0000291
DB00167,SMP0000292
DB00167,SMP0000295
DB00167,SMP0000523
DB00167,SMP0000712
DB00167,SMP0000714
DB00167,SMP0000727
DB00167,SMP0000728
DB00167,SMP0000729
DB00167,SMP0000032
DB00167,SMP0000140
DB00167,SMP0000141
DB00169,SMP0000099
DB00169,SMP0000111
DB00169,SMP0000209
DB00169,SMP0000388
DB00169,SMP0000389
DB00169,SMP0000510
DB00169,SMP0000082
DB00169,SMP0000089
DB00169,SMP0000092
DB00169,SMP0000107
DB00169,SMP0000117
DB00169,SMP0000119
DB00169,SMP0000319
DB00169,SMP0000508
DB00169,SMP0000023
DB00169,SMP0000079
DB00169,SMP0000095
DB00169,SMP0000112
DB00169,SMP0000131
DB00169,SMP0000386
DB00169,SMP0000387
DB00169,SMP0000509
DB00169,SMP0000511
DB00171,SMP0000002
DB00171,SMP0000003
DB00171,SMP0000004
DB00171,SMP0000009
DB00171,SMP0000011
DB00171,SMP0000016
DB00171,SMP0000020
DB00171,SMP0000029
DB00171,SMP0000031
DB00171,SMP0000039
DB00171,SMP0000043
DB00171,SMP0000044
DB00171,SMP0000046
DB00171,SMP0000050
DB00171,SMP0000051
DB00171,SMP0000057
DB00171,SMP0000058
DB00171,SMP0000060
DB00171,SMP0000072
DB00171,SMP0000073
DB00171,SMP0000076
DB00171,SMP0000082
DB00171,SMP0000089
DB00171,SMP0000092
DB00171,SMP0000107
DB00171,SMP0000117
DB00171,SMP0000119
DB00171,SMP0000123
DB00171,SMP0000128
DB00171,SMP0000137
DB00172,SMP0000020
DB00172,SMP0000188
DB00172,SMP0000248
DB00172,SMP0000251
DB00172,SMP0000254
DB00172,SMP0000293
DB00172,SMP0000294
DB00172,SMP0000360
DB00172,SMP0000361
DB00172,SMP0000507
DB00172,SMP0000713
DB00172,SMP0000730
DB00172,SMP0000731
DB00172,SMP0002292
DB00172,SMP0000247
DB00172,SMP0000249
DB00172,SMP0000250
DB00172,SMP0000255
DB00172,SMP0000256
DB00172,SMP0000257
DB00172,SMP0000259
DB00172,SMP0000262
DB00172,SMP0000362
DB00172,SMP0000504
DB00172,SMP0000505
DB00172,SMP0000711
DB00172,SMP0000726
DB00172,SMP0002295
DB00172,SMP0000207
DB00172,SMP0000208
DB00173,SMP0000167
DB00173,SMP0000220
DB00173,SMP0000512
DB00173,SMP0000536
DB00173,SMP0000537
DB00173,SMP0000050
DB00173,SMP0000210
DB00173,SMP0000364
DB00173,SMP0000365
DB00173,SMP0000428
DB00173,SMP0000535
DB00173,SMP0000144
DB00173,SMP0000168
DB00173,SMP0000203
DB00173,SMP0000427
DB00173,SMP0000430
DB00173,SMP0000513
DB00174,SMP0000009
DB00174,SMP0000248
DB00174,SMP0000251
DB00174,SMP0000254
DB00174,SMP0000293
DB00174,SMP0000294
DB00174,SMP0000713
DB00174,SMP0000730
DB00174,SMP0000731
DB00174,SMP0000247
DB00174,SMP0000249
DB00174,SMP0000250
DB00174,SMP0000255
DB00174,SMP0000256
DB00174,SMP0000257
DB00174,SMP0000259
DB00174,SMP0000262
DB00174,SMP0000711
DB00174,SMP0000726
DB00174,SMP0000067
DB00174,SMP0000175
DB00174,SMP0000192
DB00174,SMP0000252
DB00174,SMP0000253
DB00174,SMP0000258
DB00174,SMP0000290
DB00174,SMP0000291
DB00174,SMP0000292
DB00174,SMP0000295
DB00174,SMP0000712
DB00175,SMP0000089
DB00177,SMP0000165
DB00178,SMP0000154
DB00178,SMP0000597
DB00184,SMP0000431
DB00184,SMP0000628
DB00187,SMP0000301
