src_vid,dst_vid
DB00143,BE0000889
DB00143,BE0001189
DB00143,BE0002284
DB00143,BE0001135
DB00143,BE0002285
DB00143,BE0002286
DB00143,BE0001825
DB00143,BE0002287
DB00143,BE0002289
DB00143,BE0002290
DB00143,BE0002291
DB00143,BE0002292
DB00143,BE0002189
DB00143,BE0002281
DB00143,BE0000785
DB00143,BE0001069
DB00143,BE0001061
DB00143,BE0001188
DB00143,BE0003639
DB00143,BE0000673
DB00144,BE0000189
DB00144,BE0001132
DB00144,BE0001099
DB00144,BE0002296
DB00144,BE0002297
DB00144,BE0002299
DB00144,BE0002300
DB00144,BE0002301
DB00144,BE0001001
DB00144,BE0000518
DB00145,BE0000409
DB00145,BE0000898
DB00145,BE0000998
DB00145,BE0000760
DB00145,BE0002303
DB00145,BE0002304
DB00145,BE0000185
DB00145,BE0000454
DB00145,BE0002154
DB00145,BE0002305
DB00145,BE0000292
DB00145,BE0002306
DB00145,BE0002307
DB00145,BE0000102
DB00145,BE0002309
DB00145,BE0000534
DB00145,BE0000433
DB00145,BE0000316
DB00145,BE0000055
DB00145,BE0000331
DB00145,BE0000414
DB00145,BE0000745
DB00145,BE0000372
DB00145,BE0000347
DB00145,BE0000010
DB00145,BE0000618
DB00145,BE0000737
DB00145,BE0002302
DB00145,BE0003654
DB00145,BE0000536
DB00145,BE0002308
DB00145,BE0002310
DB00145,BE0000940
DB00145,BE0000779
DB00146,BE0000443
DB00146,BE0002250
DB00146,BE0000042
DB00147,BE0000714
DB00148,BE0000171
DB00148,BE0000082
DB00148,BE0000410
DB00148,BE0000375
DB00148,BE0000567
DB00148,BE0000106
DB00148,BE0000204
DB00149,BE0000613
DB00149,BE0000450
DB00149,BE0000769
DB00149,BE0000721
DB00149,BE0000517
DB00149,BE0003654
DB00149,BE0000178
DB00149,BE0000228
DB00150,BE0001343
DB00150,BE0002311
DB00150,BE0001343
DB00150,BE0002311
DB00150,BE0000121
DB00150,BE0000080
DB00150,BE0000228
DB00150,BE0000693
DB00150,BE0003532
DB00150,BE0002151
DB00150,BE0000178
DB00150,BE0003654
DB00150,BE0000606
DB00151,BE0000166
DB00151,BE0000529
DB00151,BE0000383
DB00151,BE0000791
DB00151,BE0000323
DB00151,BE0000701
DB00151,BE0001145
DB00151,BE0000185
DB00151,BE0002312
DB00151,BE0000079
DB00151,BE0000151
DB00151,BE0000569
DB00151,BE0003654
DB00151,BE0000157
DB00152,BE0004673
DB00152,BE0000157
DB00152,BE0009876
DB00152,BE0009877
DB00152,BE0000530
DB00152,BE0003647
DB00152,BE0003648
DB00152,BE0000106
DB00152,BE0003530
DB00152,BE0000963
DB00152,BE0000779
DB00153,BE0004902
DB00153,BE0003537
DB00153,BE0002250
DB00153,BE0000443
DB00153,BE0000549
DB00153,BE0000524
DB00153,BE0001141
DB00153,BE0000262
DB00154,BE0000017
DB00154,BE0001821
DB00154,BE0000263
DB00155,BE0000671
DB00155,BE0000608
DB00155,BE0000788
DB00155,BE0000766
DB00155,BE0000306
DB00155,BE0000067
DB00155,BE0000005
DB00155,BE0001092
DB00155,BE0002313
DB00155,BE0002314
DB00155,BE0002315
DB00155,BE0002316
DB00155,BE0001066
DB00155,BE0000234
DB00156,BE0002317
DB00156,BE0001755
DB00156,BE0003654
DB00156,BE0000645
DB00157,BE0000227
DB00157,BE0000299
DB00157,BE0000360
DB00157,BE0000465
DB00157,BE0000400
DB00157,BE0000522
DB00157,BE0000208
DB00157,BE0000297
DB00157,BE0000009
DB00157,BE0000747
DB00157,BE0000317
DB00157,BE0000780
DB00157,BE0000425
DB00157,BE0000148
DB00157,BE0000408
DB00157,BE0000100
DB00157,BE0000149
DB00157,BE0000068
DB00157,BE0000586
DB00157,BE0000377
DB00157,BE0000328
DB00157,BE0000175
DB00157,BE0000589
DB00157,BE0000128
DB00157,BE0000336
DB00157,BE0000574
DB00157,BE0000604
DB00157,BE0000161
DB00157,BE0000184
DB00157,BE0000771
DB00157,BE0000559
DB00157,BE0000011
DB00157,BE0000194
DB00157,BE0000006
DB00157,BE0000570
DB00157,BE0000357
DB00157,BE0000578
DB00157,BE0000438
DB00157,BE0000722
DB00157,BE0000592
DB00157,BE0000552
DB00157,BE0000662
DB00157,BE0000126
DB00157,BE0000329
DB00157,BE0000059
DB00157,BE0000051
DB00157,BE0000761
DB00157,BE0000260
DB00157,BE0000133
DB00157,BE0000131
DB00157,BE0000622
DB00157,BE0000044
DB00157,BE0000193
DB00157,BE0000231
DB00157,BE0000718
DB00157,BE0000554
DB00157,BE0000720
DB00157,BE0000287
DB00157,BE0000583
DB00157,BE0000479
DB00157,BE0000446
DB00157,BE0000542
DB00157,BE0000513
DB00157,BE0000600
DB00157,BE0000152
DB00157,BE0000135
DB00157,BE0000595
DB00157,BE0000728
DB00157,BE0000225
DB00157,BE0000180
DB00157,BE0000098
DB00157,BE0000609
DB00157,BE0000571
DB00157,BE0000741
DB00157,BE0000762
DB00157,BE0000330
DB00157,BE0000162
DB00157,BE0000755
DB00157,BE0000031
DB00157,BE0000220
DB00157,BE0000655
DB00157,BE0000073
DB00157,BE0000196
DB00157,BE0000307
DB00157,BE0000617
DB00157,BE0000268
DB00157,BE0000244
DB00157,BE0000160
DB00157,BE0000541
DB00157,BE0000551
DB00157,BE0000540
DB00157,BE0000503
DB00157,BE0000008
DB00157,BE0000473
